Row,Motor A,Motor B
1319,-0.816000,0.816000
1320,-0.828000,0.828000
1321,-0.840000,0.840000
1322,-0.852000,0.852000
1323,-0.864000,0.864000
1324,-0.876000,0.876000
1325,-0.888000,0.888000
1326,-0.900000,0.900000
1327,-0.912000,0.912000
1328,-0.924000,0.924000
1329,-0.936000,0.936000
1330,-0.948000,0.948000
1331,-0.960000,0.960000
1332,-0.972000,0.972000
1333,-0.984000,0.984000
1334,-0.996000,0.996000
1335,-1.008000,1.008000
1336,-1.020000,1.020000
1337,-1.032000,1.032000
1338,-1.044000,1.044000
1339,-1.056000,1.056000
1340,-1.068000,1.068000
1341,-1.080000,1.080000
1342,-1.092000,1.092000
1343,-1.104000,1.104000
1344,-1.116000,1.116000
1345,-1.128000,1.128000
1346,-1.140000,1.140000
1347,-1.152000,1.152000
1348,-1.164000,1.164000
1349,-1.176000,1.176000
1350,-1.188000,1.188000
1351,-1.200000,1.200000
1352,-1.212000,1.212000
1353,-1.224000,1.224000
1354,-1.236000,1.236000
1355,-1.248000,1.248000
1356,-1.260000,1.260000
1357,-1.272000,1.272000
1358,-1.284000,1.284000
1359,-1.296000,1.296000
1360,-1.308000,1.308000
1361,-1.320000,1.320000
1362,-1.332000,1.332000
1363,-1.344000,1.344000
1364,-1.356000,1.356000
1365,-1.368000,1.368000
1366,-1.380000,1.380000
1367,-1.392000,1.392000
1368,-1.404000,1.404000
1369,-1.416000,1.416000
1370,-1.428000,1.428000
1371,-1.440000,1.440000
1372,-1.452000,1.452000
1373,-1.464000,1.464000
1374,-1.476000,1.476000
1375,-1.488000,1.488000
1376,-1.500000,1.500000
1377,-1.512000,1.512000
1378,-1.524000,1.524000
1379,-1.536000,1.536000
1380,-1.548000,1.548000
1381,-1.560000,1.560000
1382,-1.572000,1.572000
1383,-1.584000,1.584000
1384,-1.596000,1.596000
1385,-1.608000,1.608000
1386,-1.620000,1.620000
1387,-1.632000,1.632000
1388,-1.644000,1.644000
1389,-1.656000,1.656000
1390,-1.668000,1.668000
1391,-1.680000,1.680000
1392,-1.692000,1.692000
1393,-1.704000,1.704000
1394,-1.716000,1.716000
1395,-1.728000,1.728000
1396,-1.740000,1.740000
1397,-1.752000,1.752000
1398,-1.764000,1.764000
1399,-1.776000,1.776000
1400,-1.788000,1.788000
1401,-1.800000,1.800000
1402,-1.812000,1.812000
1403,-1.824000,1.824000
1404,-1.836000,1.836000
1405,-1.848000,1.848000
1406,-1.860000,1.860000
1407,-1.872000,1.872000
1408,-1.884000,1.884000
1409,-1.896000,1.896000
1410,-1.908000,1.908000
1411,-1.920000,1.920000
1412,-1.932000,1.932000
1413,-1.944000,1.944000
1414,-1.956000,1.956000
1415,-1.968000,1.968000
1416,-1.980000,1.980000
1417,-1.992000,1.992000
1418,-2.004000,2.004000
1419,-2.016000,2.016000
1420,-2.028000,2.028000
1421,-2.040000,2.040000
1422,-2.052000,2.052000
1423,-2.064000,2.064000
1424,-2.076000,2.076000
1425,-2.088000,2.088000
1426,-2.100000,2.100000
1427,-2.112000,2.112000
1428,-2.124000,2.124000
1429,-2.136000,2.136000
1430,-2.148000,2.148000
1431,-2.160000,2.160000
1432,-2.172000,2.172000
1433,-2.184000,2.184000
1434,-2.196000,2.196000
1435,-2.208000,2.208000
1436,-2.220000,2.220000
1437,-2.232000,2.232000
1438,-2.244000,2.244000
1439,-2.256000,2.256000
1440,-2.268000,2.268000
1441,-2.280000,2.280000
1442,-2.292000,2.292000
1443,-2.304000,2.304000
